"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "XML", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3630, 0, 7, 1106, 4743
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 9088, 0, 27, 1714, 10829
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 9090, 0, 7, 1708, 10805
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.bundle.js", "JavaScript", 4890, 0, 0, 0, 0, 0, 0, 0, 0, 560, 1326, 6776
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.esm.js", "JavaScript", 3479, 0, 0, 0, 0, 0, 0, 0, 0, 472, 1044, 4995
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.esm.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.js", "JavaScript", 3518, 0, 0, 0, 0, 0, 0, 0, 0, 478, 1048, 5044
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-icons-1.4.0\search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\VegaExpress\carrinho.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 11, 30
"c:\xampp\htdocs\VegaExpress\codigosSemUso.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 106, 14, 35, 155
"c:\xampp\htdocs\VegaExpress\composer.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\VegaExpress\composer.lock", "JSON", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 1, 158
"c:\xampp\htdocs\VegaExpress\editarPub.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 16, 55
"c:\xampp\htdocs\VegaExpress\img\LogoTCC.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"c:\xampp\htdocs\VegaExpress\img\btns\edit.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\expand.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\profileConfig.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\star_rate.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\carrinho\fundo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Bitcoin.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Cardano.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Chainlink.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Ethereum.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Monero.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\menu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\menu_open.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\shopping_cart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\includesPag\PesquisaResultado.php", "PHP", 0, 241, 0, 0, 0, 0, 0, 0, 0, 7, 56, 304
